CNPJ;DENOM_SOCIAL;DENOM_COMERC;DT_REG;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT;CATEG_REG;SUBCATEG_REG;CONTROLE_ACIONARIO;TP_ENDER;LOGRADOURO;COMPL;BAIRRO;MUN;UF;CEP;DDD;TEL;VL_PATRIM_LIQ;DT_PATRIM_LIQ;EMAIL;SITE_ADMIN
35.098.686/0001-80;10B GESTORA DE RECURSOS LTDA.;10B;2020-08-11;;;EM FUNCIONAMENTO NORMAL;2020-08-11;Gestor de Carteira;;PRIVADO;SEDE;AVENIDA MAGALHÃES DE CASTRO, 4800;TORRE 1, 12° ANDAR;JARDIM PANORAMA;SÃO PAULO;SP;5676120;11;30745829;;;thomas@10b.com.br;https://10b.com.br
07.063.675/0001-29;2B CAPITAL S.A.;2B CAPITAL S.A.;2005-07-15;;;EM FUNCIONAMENTO NORMAL;2005-07-15;Gestor de Carteira;;PRIVADO;SEDE;AV. PRESIDENTE JUSCELINO KUBITSCHEK, 1.309;10º ANDAR;VILA NOVA CONCEIÇÃO;SÃO PAULO;SP;4543011;11;21699059;;;rafael.padilha@bradescobbi.com.br;www.2bcapital.com.br
48.693.601/0001-53;3 ILHAS INVESTIMENTOS - GESTÃO DE RECURSOS LTDA.;-----;2023-03-23;;;EM FUNCIONAMENTO NORMAL;2023-03-23;Gestor de Carteira;;PRIVADO;SEDE;AV. VISCONDE DE ALBUQUERQUE, 1225/2º ANDAR, PARTE;;LEBLON;RIO DE JANEIRO;RJ;22450001;21;35129393;;;contato@tresilhasinvestimentos.com.br;www.tresilhasinvestimentos.com.br
09.813.848/0001-04;3G CAPITAL GESTORA DE RECURSOS LTDA;--;2011-03-24;2016-02-11;CANCELAMENTO A PEDIDO;CANCELADA;2016-02-11;Gestor de Carteira;;PRIVADO;SEDE;Rua Humaita 275;9o andar;HUMAITÁ;RIO DE JANEIRO;RJ;22261005;21;35156232;;;riobackofficeteam@3g-capital.com;
17.776.271/0001-36;3G RADAR GESTORA DE RECURSOS LTDA;3G RADAR;2013-07-02;;;EM FUNCIONAMENTO NORMAL;2013-07-02;Gestor de Carteira;;PRIVADO;SEDE;AVENIDA BORGES DE MEDEIROS;633/501;LEBLON;RIO DE JANEIRO;RJ;22430041;21;32659600;;;backoffice@3g-radar.com;www.3g-radar.com
29.063.944/0001-90;3J GESTORA DE RECURSOS LTDA. - ME;3J GESTORA DE RECURSOS LTDA. - ME;2018-07-27;;;EM FUNCIONAMENTO NORMAL;2018-07-27;Gestor de Carteira;;PRIVADO;SEDE;AV. BRIGADEIRO FARIA LIMA, 2954;CJ. 52;JD. PAULISTANO;SÃO PAULO;SP;1451901;11;27380110;;;tatiana@3jcapitalgroup.com;www.3jcapital.com.br
13.641.353/0001-12;3R GESTORA DE RECURSOS LTDA;--;2011-07-25;;;EM FUNCIONAMENTO NORMAL;2011-07-25;Gestor de Carteira;;PRIVADO;SEDE;RUA GOMES DE CARVALHO, 1069;CONJUNTO 142/143 ANDAR 14;VILA OLÍMPIA;SÃO PAULO;SP;4547004;11;20390866;;;operacoes@3r-invest.com.br;www.3r-invest.com.br
20.486.283/0001-30;3V CAPITAL GESTÃO DE RECURSOS LTDA.;3V CAPITAL GESTÃO DE RECURSOS LTDA.;2021-12-17;;;EM FUNCIONAMENTO NORMAL;2021-12-17;Gestor de Carteira;;PRIVADO;SEDE;RUA PADRE JOÃO MANUEL, 923;CJ 92;CERQUEIRA CÉSAR;SÃO PAULO;SP;1411901;11;981705555;;;contato@3vcapital.com.br;https://3vcapital.com.br/
29.300.309/0001-89;4D CAPITAL PARTICIPACOES LTDA.;NEO VENTURES CAPITAL;2022-03-28;;;EM FUNCIONAMENTO NORMAL;2022-03-28;Gestor de Carteira;;PRIVADO;SEDE;AV. BRIG. FARIA LIMA, 4.055/4¦ ANDAR, SALA 04-115;;ITAIM BIBI;SÃO PAULO;SP;4538133;31;988723261;;;ola@neoventures.capital;www.neoventures.capital
11.402.234/0001-81;4I CAPITAL LTDA;4I CAPITAL LTDA;2010-06-10;;;EM FUNCIONAMENTO NORMAL;2010-06-10;Gestor de Carteira;;PRIVADO;SEDE;ALAMEDA RIO NEGRO;1030, 23º AND. E. 2304 SL. RIO NEGRO COND. STADIUM;ALPHAVILLE CENTRO IND. E EMPRESARIAL;BARUERI;SP;6454000;11;23919194;;;ri@4icapital.com.br;www.4icapital.com.br
17.817.934/0001-13;4K INVESTIMENTOS LTDA;4K INVESTIMENTOS LTDA;2014-01-23;;;EM FUNCIONAMENTO NORMAL;2014-01-23;Gestor de Carteira;;PRIVADO;SEDE;PRAIA DO FLAMENGO 154;4O ANDAR, 404;FLAMENGO;RIO DE JANEIRO;RJ;22210030;21;32350900;;;4kinvest@4kinvest.com.br;www.4kinvest.com.br
