CD_CVM;CNPJ;DENOM_SOCIAL;SIT;DT_INI_SIT;TP_ENDER;LOGRADOURO;COMPL;BAIRRO;MUN;UF;CEP
9164;36.348.092/0001-42;A.C.A. - AUDITORIA E CONSULTORIA;ATIVO;2001-10-08;SEDE;R CLOVIS MACHADO 176 SL 309/;311/313/315;ENSEADA DO SUÁ;VITÓRIA;ES;29050590
9482;05.209.294/0001-80;ACCOUNT - AUDITORES INDEPENDENTES S/S;ATIVO;2002-09-19;SEDE;RUA SIRIRI;496 1º AND SL 03;CENTRO;ARACAJU;SE;49010450
5517;20.763.801/0001-16;ACE AUDITORIA ASSESSORIA E CONSULTORIA EMPRESARIAL;ATIVO;1992-05-25;SEDE;AV BARÃO HOMEM DE MELO, 4500;SALA 1011;ESTORIL;BELO HORIZONTE;MG;30494270
13323;48.028.267/0001-13;ACESSO AUDITORES INDEPENDENTES S/S LTDA.;ATIVO;2023-03-03;SEDE;AV. REPUBLICA ARGENTINA 2275;CONJ 814 ANDAR 8;PORTÃO;CURITIBA;PR;80610260
4561;33.694.225/0001-44;ACG AUDITORIA E PERICIA CONTABIL;ATIVO;1989-05-22;SEDE;RUA QUINZE DE NOVEMBRO, 90 - SALA 603;PARTE;CENTRO;NITERÓI;RJ;24020125
12840;01.780.693/0001-45;ACS AUDITORES E CONSULTORES S/S;ATIVO;2018-09-11;SEDE;RUA CHAVES BARCELOS, 36 - 9º ANDAR;SALA 902;CENTRO;PORTO ALEGRE;RS;90030120
2445;83.794.925/0001-89;ACTUS AUDITORES INDEPENDENTES S/S;ATIVO;1985-06-28;SEDE;R ASSUNCAO 43;;PONTA AGUDA;BLUMENAU;SC;89050120
2445;83.794.925/0001-89;ACTUS AUDITORES INDEPENDENTES S/S;ATIVO;1985-06-28;FILIAL SC;RUA FELIPE SCHMIDT, 172;SALA 605-B;CENTRO;BRUSQUE;SC;88350075
12661;26.165.186/0001-22;ADVANCE AUDITORES INDEPENDENTES SOCIEDADE SIMPLES PURA;ATIVO;2017-01-23;SEDE;AV. CHURCHILL, 109;SL 902;CENTRO;RIO DE JANEIRO;RJ;20020050
11614;05.690.064/0001-85;ADVISER SUL AUDITORES INDEPENDENTES;ATIVO;2011-08-31;SEDE;RUA DOUTOR JOÃO COLIN;1285 - SALA 3;AMÉRICA;JOINVILLE;SC;89204001
11614;05.690.064/0001-85;ADVISER SUL AUDITORES INDEPENDENTES;ATIVO;2011-08-31;FILIAL SP;RUA CLÉLIA, 2145;13º ANDAR;LAPA;SÃO PAULO;SP;5042001
12866;29.402.795/0001-46;AF&H AUDITORES INDEPENDENTES;ATIVO;2018-11-27;SEDE;RUA DOUTOR NETO DE ARAÚJO, 320;CJ. 1304;VILA MARIANA;SÃO PAULO;SP;4111001
6238;74.190.505/0001-00;AFM AUDITORES INDEPENDENTES SOCIEDADE SIMPLES;ATIVO;1994-12-07;SEDE;AV TANCREDO NEVES, 1632;TORR SUL - SL. 913;CAMINHO DAS ÁRVORES;SALVADOR;BA;41820915
9555;05.152.318/0001-01;AGUIAR FERES AUDITORES INDEPENDENTES S/S - EPP;ATIVO;2002-12-02;SEDE;RUA VISCONDE DE INHAÚMA, 490 - ED. PADRE EUCLIDES;CJ. 801;CENTRO;RIBEIRÃO PRETO;SP;14010100
11290;05.060.765/0001-30;AJCA AUDITORES INDEPENDENTES S/S;ATIVO;2009-08-14;SEDE;RUA MORRETES;Nº 285 - CJ. 21;PORTÃO;CURITIBA;PR;80610150
13315;46.707.452/0001-09;AKIO AUDITORES INDEPENDENTES SS LTDA;ATIVO;2023-03-03;SEDE;AVENIDA BRIGADEIRO FARIA LIMA;1461 - 4 ANDAR;JARDIM PAULISTANO;SÃO PAULO;SP;1452921
11134;09.327.035/0001-04;ALLIANSSA AUDITORES ASSOCIADOS S/S;ATIVO;2009-01-09;SEDE;RUA PEDRO ÁLVARES CABRAL;Nº 574 - SL. 205;CENTRO;ERECHIM;RS;99700000
2518;52.572.500/0001-00;ALONSO, BARRETTO  & CIA. -  AUDITORES INDEPENDENTES;ATIVO;1984-05-22;SEDE;RUA AGOSTINHO GOMES, 2675;;IPIRANGA;SÃO PAULO;SP;4206001
9393;01.745.292/0001-54;ALPHA - AUDITORES INDEPENDENTES;ATIVO;2002-04-08;SEDE;R VISCONDE DE NACAR,  865;CONJ. 307;CENTRO;CURITIBA;PR;80410201
12941;06.227.120/0001-02;AMG AUDITORES INDEPENDENTES;ATIVO;2019-01-30;SEDE;AV. ASSIS CHATEAUBRIAND, 591;;FLORESTA;BELO HORIZONTE;MG;30150101
6114;00.117.918/0001-15;ANDREOLI & ASSOC AUDITORES INDEPENDENTES SOC SIMPLES;ATIVO;1994-09-08;SEDE;AL NHAMBIQUARAS 747 1ºA CJ03;;MOEMA;SÃO PAULO;SP;4090011
9210;04.310.873/0001-51;ANEND AUDITORES INDEPENDENTES;ATIVO;2001-11-23;SEDE;RUA MAYRINK VEIGA, 04;SALA 1501;CENTRO;RIO DE JANEIRO;RJ;20090050
7633;02.964.142/0001-02;ÁPICE AUDITORES INDEPENDENTES S/S;ATIVO;1999-04-08;SEDE;AV. BERNARDINO DE CAMPOS,  327;6º AND CJ.62  P/72;PARAISO;SÃO PAULO;SP;4004050
2852;51.652.493/0001-85;APPLY AUDITORES ASSOCIADOS;ATIVO;1980-12-22;SEDE;AVENIDA ANA COSTA, NR.79;8º ANDAR - S/82;GONZAGA;SANTOS;SP;11060001
11223;06.017.215/0001-00;APPROACH AUDITORES INDEPENDENTES S/S;ATIVO;2009-04-01;SEDE;RUA DR. GURGEL,  1041;;CENTRO;PRESIDENTE PRUDENTE;SP;19015140
11223;06.017.215/0001-00;APPROACH AUDITORES INDEPENDENTES S/S;ATIVO;2009-04-01;FILIAL SÃO PAULO;RUA CEL. SPINOLA DE CASTRO;Nº 3635 - SL. 132;VILA IMPERIAL;SÃO JOSÉ DO RIO PRETO;SP;15015500
13269;39.523.799/0001-36;APTER AUDITORES INDEPENDENTES S/S;ATIVO;2022-09-26;SEDE;AV GISELE CONSTANTINO, Nº 1850;SL 603 ED IGUATEMI;PARQUE BELA VISTA;VOTORANTIM;SP;18110650
