CNPJ;DENOM_SOCIAL;DENOM_COMERC;DT_REG;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT;CONTROLE_ACIONARIO;TP_ENDER;LOGRADOURO;COMPL;BAIRRO;MUN;UF;CEP;DDD;TEL;EMAIL;SITE_ADMIN
27.383.813/0001-64;1M30 EMPREENDIMENTOS LTDA;@1MILHAOCOM30;2022-10-14;;;EM FUNCIONAMENTO NORMAL;2022-10-14;;SEDE;Rua Farmaceutico Jose Rodrigues de Andrade, 403;;São Sebastião;UBÁ;MG;36505002;32;987036309;carvalhoayres@gmail.com;
47.170.470/0001-67;31 CAPITAL LTDA;31 CAPITAL;2022-08-11;2022-12-27;CANCELAMENTO POR DECISÃO ADMINISTRATIVA;CANCELADA;2022-12-27;PRIVADO;SEDE;Av. Governador Valadares 510;;Centro;BETIM;MG;32600216;31;984695471;contato@31capital.com.br;www.31capital.com.br
47.170.470/0001-67;31 CAPITAL LTDA;31 CAPITAL;2023-01-25;;;EM FUNCIONAMENTO NORMAL;2023-01-25;;SEDE;Av. Governador Valadares 510;;Centro;BETIM;MG;32600216;31;984695471;contato@31capital.com.br;
12.908.862/0001-04;3J CONSULTORIA EM INVESTIMENTOS LTDA;3J CONSULTORIA;2010-12-24;;;EM FUNCIONAMENTO NORMAL;2010-12-24;PRIVADO;SEDE;RUA RUA ATAULFO DE PAIVA 341;SALA 604;IPANEMA;RIO DE JANEIRO;RJ;22440032;21;22391668;fk@3jcapitalgroup.com;www.3jcapital.com.br
45.831.975/0001-08;A4Y ANÁLISES E CONSULTORIA DE VALORES MOBILIÁRIOS LTDA.;A4Y;2022-08-08;;;EM FUNCIONAMENTO NORMAL;2022-08-08;PRIVADO;SEDE;AV. JOÃO CABRAL DE MELLO NETO, 850/BL 3 SL 803;;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;22775057;21;30304118;contato@a4y.com.br;https://www.a4y.com.br/
00.961.487/0001-79;AAD CONSULTORES ASSOC S/C LTDA;AAD CONSULTORES ASSOCIADOS S/C LTDA;1998-09-03;2003-04-22;CANCELAMENTO A PEDIDO;CANCELADA;2003-04-22;PRIVADO;SEDE;RUA DO MERCADO, 17 / SL. 202;;CENTRO;RIO DE JANEIRO;RJ;20010120;21;25071251;;
12.368.938/0001-48;AAR GOMES CONSULTORIA FINANCEIRA;ANDREA REZENDE CONSULTORIA FINANCEIRA;2014-10-07;2018-07-30;CANCELAMENTO A PEDIDO;CANCELADA;2018-07-30;PRIVADO;SEDE;RUA VISCONDE DE PIRAJÁ, 550;1102;IPANEMA;RIO DE JANEIRO;RJ;22410901;21;22390897;andrea@horizontegp.com.br;
32.160.325/0001-28;AB CONSULTORIA DE VALORES MOBILIÁRIOS LTDA.;------;2019-06-13;2020-06-30;CANCELAMENTO A PEDIDO;CANCELADA;2020-06-30;PRIVADO;SEDE;RUA IGUATEMI, 151/28º ANDAR, CJ 282, SL 1;;ITAIM BIBI;SÃO PAULO;SP;1451011;11;31994452;contato@abconsultoriaderiscos.com.br;
03.001.602/0001-51;ABC AGENTES DE INVESTIMENTOS LTDA.;GLOBAL INVEST SERVIÇO DE PLANEJAMENTO FINANCEIRO LTDA;2002-02-19;2006-04-28;CANCELAMENTO A PEDIDO;CANCELADA;2006-04-28;PRIVADO;SEDE;Rua Visconde de Nacar, 1440;26º andar;Centro;CURITIBA;PR;80410201;41;33459971;fernando.ferreira@globalinvest.com.br;
30.324.849/0001-81;ABG CONSULTORIA DE INVESTIMENTOS LTDA;ABG CONSULTORIA DE INVESTIMENTOS LTDA;2018-12-10;;;EM FUNCIONAMENTO NORMAL;2018-12-10;PRIVADO;SEDE;AV. BRIG FARIA LIMA, 1.826;414;JARDIM PAULISTANO;SÃO PAULO;SP;1451001;11;35306871;flavio@abginvestimentos.com.br;
