TP_PARTIC;CNPJ;DENOM_SOCIAL;DENOM_COMERC;DT_REG;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT;CD_CVM;SETOR_ATIV;CONTROLE_ACIONARIO;VL_PATRIM_LIQ;DT_PATRIM_LIQ;TP_ENDER;LOGRADOURO;COMPL;BAIRRO;MUN;UF;PAIS;CEP;DDD_TEL;TEL;DDD_FAX;FAX;EMAIL
BANCOS COMERCIAIS;03.532.415/0001-02;BANCO ABN AMRO S.A.;BANCO ABN AMRO S.A.;2005-11-25;2013-09-17;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2013-09-17;60;;;30480523.39;2012-12-31;SEDE;R FIDENCIO RAMOS;302/308 11 ANDAR CONJUNTO 111;VILA OLIMPIA;SÃO PAULO;SP;;4551010;11;30737400;;;contasapagar.br@abnamroclearing.com
BANCOS COMERCIAIS;10.664.513/0001-50;BANCO AGIBANK S.A.;BANCO AGIBANK S.A.;2017-02-01;2021-01-04;CANCELAMENTO A PEDIDO;CANCELADA;2021-01-04;116;Intermediação Financeira;;;;SEDE;RUA MOSTARDEIRO Nº 266;;MOINHOS DE VENTO;PORTO ALEGRE;RS;BRASIL;90430000;051;39211462;;;ri@agibank.com.br
BANCOS COMERCIAIS;03.323.840/0001-83;BANCO ALFA S.A.;BANCO ALFA S.A.;2005-05-20;2021-06-29;CANCELAMENTO A PEDIDO;CANCELADA;2021-06-29;35;;;83985177.71;2013-12-31;SEDE;ALAMEDA SANTOS, 466;4§ ANDAR;CERQUEIRA CESAR;SÃO PAULO;SP;BRASIL;1418000;011;31755866;;;alfanet@alfa.com.br
BANCOS COMERCIAIS;31.597.552/0001-52;BANCO CLÁSSICO S.A.;--;2015-05-29;;;EM FUNCIONAMENTO NORMAL;2015-05-29;108;;;;;SEDE;AV. PRES. VARGAS, 463;13º ANDAR;CENTRO;RIO DE JANEIRO;RJ;BRASIL;20071003;21;22216142;21;22216142;bancoclassico@uol.com.br
BANCOS COMERCIAIS;02.038.232/0001-64;BANCO COOPERATIVO SICOOB S.A;BANCO COOPERATIVO DO BRASIL S/A;2005-04-15;2016-03-29;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2016-03-29;19;;;580838837.08;2013-12-31;SEDE;SIG QUADRA 06 N 2080;;SUDOESTE;BRASÍLIA;DF;;70610460;61;32175229;61;32175295;carlasilva@sicoob.com.br
BANCOS COMERCIAIS;04.902.979/0001-44;BANCO DA AMAZÔNIA S.A.;BANCO DA AMAZONIA S.A.;2006-01-02;;;EM FUNCIONAMENTO NORMAL;2006-01-02;51;Bancos;;1624993438.89;2013-12-31;SEDE;AVENIDA PRESIDENTE VARGAS , 800;SECRE;CAMPINA;BELÉM;PA;BRASIL;66017910;91;40083340;91;32235175;investidores@bancoamazonia.com.br
BANCOS COMERCIAIS;83.876.003/0001-10;BANCO DO ESTADO DE SANTA CATARINA S/A - BESC;BESC S.A.;2005-04-18;2009-01-29;INCORPORAÇÃO;CANCELADA;2009-01-29;27;Bancos;;193047903.57;2007-12-31;SEDE;PRAçA XV DE NOVEMBRO, 329;3º ANDAR;CENTRO;FLORIANÓPOLIS;SC;BRASIL;88010901;48;32399000;48;32166509;ouvidoria@besc.com.br
BANCOS COMERCIAIS;33.923.798/0001-00;BANCO MÁXIMA S/A;STOCK;2007-05-25;2015-01-29;CANCELAMENTO A PEDIDO;CANCELADA;2015-01-29;94;;;52861751.16;2013-12-31;SEDE;AV. ATLÂNTICA, Nº 1130;9º ANDAR (PARTE);COPACABANA;RIO DE JANEIRO;RJ;BRASIL;22021000;21;22241577;21;38201796;juridico@bancomaxima.com.br
BANCOS COMERCIAIS;61.820.817/0001-09;BANCO PAULISTA S.A.;BANCO PAULISTA S.A.;2007-02-07;;;EM FUNCIONAMENTO NORMAL;2007-02-07;86;;;146953119.31;2013-12-31;SEDE;AV BRIGADEIRO FARIA LIMA, 1355;1, 2  ANDARES;JARDIM PAULISTANO;SÃO PAULO;SP;;1452919;11;32992000;11;32992005;marcelo.guimaraes@bancopaulista.com.br
BANCOS COMERCIAIS;61.024.352/0001-71;BANCO VOITER S.A.;BANCO INDUSVAL & PARTNERS;2005-11-03;2014-05-16;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2014-05-16;43;Bancos;;673346269.14;2013-12-31;SEDE;AVENIDA PRESIDENTE JUSCELINO KUBITSCHK;6º ANDAR;VILA NOVA CONCEIÇÃO;SÃO PAULO;SP;;4543000;11;33156733;11;33156912;relacoes.investidores@voiter.com
